"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"3984",2111,"Vika","Oleg","statement",5,"female",4,"male"
"3985",2111,"Oleg","Vika","question",4,"male",5,"female"
"3986",2111,"Vika","Oleg","question",5,"female",4,"male"
"3987",2111,"Oleg","Oleg","statement",4,"male",4,"male"
"3988",2111,"Oleg","Ashley","question",4,"male",1,"female"
"3989",2111,"Ashley","Oleg","question",1,"female",4,"male"
"3990",2111,"Oleg","Ashley","question",4,"male",1,"female"
"3991",2111,"Ashley","Will","statement",1,"female",2,"male"
"3992",2111,"Will","Oleg","floor-grabber",2,"male",4,"male"
"3993",2111,"Oleg","Will","question",4,"male",2,"male"
"3994",2111,"Will","Oleg","statement",2,"male",4,"male"
"3995",2111,"Oleg","Vika","statement",4,"male",5,"female"
"3996",2111,"Vika","Oleg","statement",5,"female",4,"male"
"3997",2111,"Oleg","Vika","statement",4,"male",5,"female"
"3998",2111,"Vika","Vika","statement",5,"female",5,"female"
"3999",2111,"Vika","Will","statement",5,"female",2,"male"
"4000",2111,"Will","Saleh","question",2,"male",3,"male"
"4001",2111,"Saleh","Will","statement",3,"male",2,"male"
"4002",2111,"Will","Vika","statement",2,"male",5,"female"
"4003",2111,"Vika","Saleh","statement",5,"female",3,"male"
"4004",2111,"Saleh","Will","statement",3,"male",2,"male"
"4005",2111,"Will","Ashley","question",2,"male",1,"female"
"4006",2111,"Ashley","Will","statement",1,"female",2,"male"
"4007",2111,"Will","Vika","question",2,"male",5,"female"
"4008",2111,"Vika","Will","disruption",5,"female",2,"male"
"4009",2111,"Will","Oleg","statement",2,"male",4,"male"
"4010",2111,"Oleg","Will","statement",4,"male",2,"male"
"4011",2111,"Will","Oleg","statement",2,"male",4,"male"
"4012",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4013",2111,"Ashley","Oleg","statement",1,"female",4,"male"
"4014",2111,"Oleg","Ashley","question",4,"male",1,"female"
"4015",2111,"Ashley","Will","statement",1,"female",2,"male"
"4016",2111,"Will","Vika","question",2,"male",5,"female"
"4017",2111,"Vika","Ashley","question",5,"female",1,"female"
"4018",2111,"Ashley","Will","statement",1,"female",2,"male"
"4019",2111,"Will","Vika","statement",2,"male",5,"female"
"4020",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4021",2111,"Ashley","Oleg","floor-grabber",1,"female",4,"male"
"4022",2111,"Oleg","Will","question",4,"male",2,"male"
"4023",2111,"Will","Vika","statement",2,"male",5,"female"
"4024",2111,"Vika","Vika","statement",5,"female",5,"female"
"4025",2111,"Vika","Ashley","statement",5,"female",1,"female"
"4026",2111,"Ashley","Vika","statement",1,"female",5,"female"
"4027",2111,"Vika","Will","statement",5,"female",2,"male"
"4028",2111,"Will","Saleh","statement",2,"male",3,"male"
"4029",2111,"Saleh","Ashley","statement",3,"male",1,"female"
"4030",2111,"Ashley","Saleh","question",1,"female",3,"male"
"4031",2111,"Saleh","Vika","question",3,"male",5,"female"
