"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"3925",2105,"Vika","Saleh","statement",5,"female",3,"male"
"3926",2105,"Saleh","Oleg","question",3,"male",4,"male"
"3927",2105,"Oleg","Saleh","question",4,"male",3,"male"
"3928",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"3929",2105,"Ashley","Saleh","statement",1,"female",3,"male"
"3930",2105,"Saleh","Ashley","question",3,"male",1,"female"
"3931",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3932",2105,"Vika","Saleh","question",5,"female",3,"male"
"3933",2105,"Saleh","Ashley","floor-grabber",3,"male",1,"female"
"3934",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"3935",2105,"Oleg","Saleh","question",4,"male",3,"male"
"3936",2105,"Saleh","Vika","statement",3,"male",5,"female"
"3937",2105,"Vika","Saleh","backchannel",5,"female",3,"male"
"3938",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"3939",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3940",2105,"Vika","Oleg","question",5,"female",4,"male"
"3941",2105,"Oleg","Ashley","question",4,"male",1,"female"
"3942",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"3943",2105,"Oleg","Vika","statement",4,"male",5,"female"
"3944",2105,"Vika","Oleg","statement",5,"female",4,"male"
"3945",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"3946",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3947",2105,"Vika","Ashley","statement",5,"female",1,"female"
"3948",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3949",2105,"Vika","Oleg","statement",5,"female",4,"male"
"3950",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"3951",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3952",2105,"Vika","Oleg","question",5,"female",4,"male"
"3953",2105,"Oleg","Vika","statement",4,"male",5,"female"
"3954",2105,"Vika","Saleh","statement",5,"female",3,"male"
"3955",2105,"Saleh","Ashley","question",3,"male",1,"female"
"3956",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"3957",2105,"Oleg","Saleh","statement",4,"male",3,"male"
"3958",2105,"Saleh","Vika","statement",3,"male",5,"female"
"3959",2105,"Vika","Vika","statement",5,"female",5,"female"
"3960",2105,"Vika","Ashley","statement",5,"female",1,"female"
"3961",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"3962",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"3963",2105,"Ashley","Will","statement",1,"female",2,"male"
"3964",2105,"Will","Saleh","statement",2,"male",3,"male"
"3965",2105,"Saleh","Ashley","question",3,"male",1,"female"
"3966",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3967",2105,"Vika","Will","disruption",5,"female",2,"male"
"3968",2105,"Will","Oleg","disruption",2,"male",4,"male"
"3969",2105,"Oleg","Saleh","statement",4,"male",3,"male"
"3970",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"3971",2105,"Ashley","Saleh","statement",1,"female",3,"male"
"3972",2105,"Saleh","Vika","question",3,"male",5,"female"
"3973",2105,"Vika","Will","question",5,"female",2,"male"
"3974",2105,"Will","Vika","statement",2,"male",5,"female"
"3975",2105,"Vika","Saleh","question",5,"female",3,"male"
"3976",2105,"Saleh","Ashley","disruption",3,"male",1,"female"
"3977",2105,"Ashley","Will","backchannel",1,"female",2,"male"
"3978",2105,"Will","Saleh","statement",2,"male",3,"male"
"3979",2105,"Saleh","Ashley","statement",3,"male",1,"female"
"3980",2105,"Ashley","Ashley","question",1,"female",1,"female"
"3981",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"3982",2105,"Oleg","Vika","question",4,"male",5,"female"
"3983",2105,"Vika","Ashley","statement",5,"female",1,"female"
"3984",2105,"Ashley","Oleg","floor-grabber",1,"female",4,"male"
"3985",2105,"Oleg","Vika","statement",4,"male",5,"female"
"3986",2105,"Vika","Ashley","statement",5,"female",1,"female"
"3987",2105,"Ashley","Oleg","disruption",1,"female",4,"male"
"3988",2105,"Oleg","Oleg","statement",4,"male",4,"male"
"3989",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"3990",2105,"Ashley","Vika","statement",1,"female",5,"female"
"3991",2105,"Vika","Oleg","question",5,"female",4,"male"
"3992",2105,"Oleg","Vika","question",4,"male",5,"female"
"3993",2105,"Vika","Oleg","statement",5,"female",4,"male"
"3994",2105,"Oleg","Vika","statement",4,"male",5,"female"
"3995",2105,"Vika","Ashley","statement",5,"female",1,"female"
"3996",2105,"Ashley","Ashley","statement",1,"female",1,"female"
"3997",2105,"Ashley","Vika","disruption",1,"female",5,"female"
"3998",2105,"Vika","Ashley","question",5,"female",1,"female"
"3999",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4000",2105,"Vika","Oleg","question",5,"female",4,"male"
"4001",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4002",2105,"Ashley","Vika","question",1,"female",5,"female"
"4003",2105,"Vika","Oleg","question",5,"female",4,"male"
"4004",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4005",2105,"Ashley","Ashley","statement",1,"female",1,"female"
"4006",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4007",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4008",2105,"Ashley","Oleg","question",1,"female",4,"male"
"4009",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4010",2105,"Ashley","Oleg","question",1,"female",4,"male"
"4011",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4012",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4013",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4014",2105,"Ashley","Vika","statement",1,"female",5,"female"
"4015",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4016",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4017",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4018",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4019",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4020",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4021",2105,"Oleg","Vika","disruption",4,"male",5,"female"
"4022",2105,"Vika","Ashley","statement",5,"female",1,"female"
"4023",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4024",2105,"Oleg","Ashley","statement",4,"male",1,"female"
"4025",2105,"Ashley","Oleg","statement",1,"female",4,"male"
"4026",2105,"Oleg","Ashley","question",4,"male",1,"female"
"4027",2105,"Ashley","Ashley","statement",1,"female",1,"female"
"4028",2105,"Ashley","Will","statement",1,"female",2,"male"
"4029",2105,"Will","Ashley","question",2,"male",1,"female"
"4030",2105,"Ashley","Ashley","statement",1,"female",1,"female"
